code	string
===============
1	
2	
3	
4	
5	
6	
7	
8	
9		
10	

11	
12	
13	
14	
15	
16	
17	
18	
19	
20	
21	
22	
23	
24	
25	
26	
27	
28	
29	
30	
31	
32	 
33	!
34	"
35	#
36	$
37	%
38	&
39	'
40	(
41	)
42	*
43	+
44	,
45	-
46	.
47	/
48	0
49	1
50	2
51	3
52	4
53	5
54	6
55	7
56	8
57	9
58	:
59	;
60	<
61	=
62	>
63	?
64	@
65	A
66	B
67	C
68	D
69	E
70	F
71	G
72	H
73	I
74	J
75	K
76	L
77	M
78	N
79	O
80	P
81	Q
82	R
83	S
84	T
85	U
86	V
87	W
88	X
89	Y
90	Z
91	[
92	\
93	]
94	^
95	_
96	`
97	a
98	b
99	c
100	d
101	e
102	f
103	g
104	h
105	i
106	j
107	k
108	l
109	m
110	n
111	o
112	p
113	q
114	r
115	s
116	t
117	u
118	v
119	w
120	x
121	y
122	z
123	{
124	|
125	}
126	~
127	
128	
129	
130	
131	
132	
133	
134	
135	
136	
137	
138	
139	
140	
141	
142	
143	
144	
145	
146	
147	
148	
149	
150	
151	
152	
153	
154	
155	
156	
157	
158	
159	
160	 
161	¡
162	¢
163	£
164	¤
165	¥
166	¦
167	§
168	¨
169	©
170	ª
171	«
172	¬
173	­
174	®
175	¯
176	°
177	±
178	²
179	³
180	´
181	µ
182	¶
183	·
184	¸
185	¹
186	º
187	»
188	¼
189	½
190	¾
191	¿
192	À
193	Á
194	Â
195	Ã
196	Ä
197	Å
198	Æ
199	Ç
200	È
201	É
202	Ê
203	Ë
204	Ì
205	Í
206	Î
207	Ï
208	Ð
209	Ñ
210	Ò
211	Ó
212	Ô
213	Õ
214	Ö
215	×
216	Ø
217	Ù
218	Ú
219	Û
220	Ü
221	Ý
222	Þ
223	ß
224	à
225	á
226	â
227	ã
228	ä
229	å
230	æ
231	ç
232	è
233	é
234	ê
235	ë
236	ì
237	í
238	î
239	ï
240	ð
241	ñ
242	ò
243	ó
244	ô
245	õ
246	ö
247	÷
248	ø
249	ù
250	ú
251	û
252	ü
253	ý
254	þ
255	ÿ
256	Is
257	s 
258	 t
259	th
260	he
261	er
262	re
263	e 
264	 a
265	a 
266	 l
267	li
268	in
269	nk
270	k 
271	 b
272	be
273	et
274	tw
275	we
276	ee
277	en
278	n 
279	 m
280	me
281	ent
282	ta
283	al
284	l 
285	 h
286	hea
287	alt
288	th 
289	 an
290	nd
291	d 
292	 th
293	he 
294	 n
295	na
296	at
297	ti
298	io
299	on
300	n'
301	's
302	s p
303	pr
304	ro
305	od
306	du
307	uc
308	ct
309	tiv
310	vi
311	it
312	ty
313	y?
314	? 
315	 W
316	Wh
317	hen
318	n P
319	Pr
320	ri
321	inc
322	ce
323	e H
324	Ha
325	ar
326	rr
327	ry
328	y 
329	 w
330	wa
331	as
332	s e
333	ed
334	di
335	iti
336	ing
337	g 
338	 B
339	BB
340	BC
341	C 
342	 R
343	Ra
344	ad
345	dio
346	o 
347	 4
348	4'
349	's 
350	 T
351	To
352	oda
353	ay
354	y p
355	pro
356	og
357	gr
358	ra
359	am
360	mm
361	me,
362	, 
363	 he
364	e a
365	ask
366	ke
367	ed 
368	 u
369	us
370	s t
371	to
372	o l
373	lo
374	oo
375	ok
376	k i
377	int
378	to 
379	 thi
380	is
381	s q
382	qu
383	ue
384	es
385	st
386	tio
387	on.
388	.O
389	On
390	n a
391	a b
392	bu
393	ui
394	il
395	ld
396	din
397	ng
398	g s
399	si
400	ite
401	e i
402	in 
403	 e
404	ea
405	ast
406	t 
407	 L
408	Lo
409	ond
410	do
411	on,
412	, m
413	men
414	n i
415	in h
416	ha
417	ard
418	d h
419	hat
420	ts
421	s a
422	an
423	nd 
424	 hi
425	i-
426	-v
427	vis
428	s j
429	ja
430	ac
431	ck
432	ket
433	ts 
434	 ar
435	re 
436	 p
437	pu
438	ut
439	tt
440	tin
441	ng 
442	 the
443	e f
444	fi
445	ini
446	ish
447	hi
448	ing 
449	 to
450	ou
451	uch
452	hes
453	s to
454	o a
455	a bl
456	loc
457	ck 
458	 o
459	of
460	f 
461	 f
462	fl
463	la
464	ats
465	s.
466	.T
467	Th
468	he c
469	co
470	om
471	mp
472	pa
473	any
474	y d
475	doi
476	ing t
477	the
478	e e
479	el
480	le
481	ec
482	ctr
483	ric
484	ca
485	al 
486	 wo
487	or
488	rk
489	k,
490	, R
491	RS
492	SE
493	E 
494	 Bu
495	uil
496	ldi
497	ing S
498	Se
499	erv
500	vic
501	ces
502	s,
503	, w
504	was
505	s s
506	se
507	et 
508	 up
509	p 
510	 1
511	14
512	4 
513	 y
514	ye
515	ear
516	rs
517	s ag
518	go
519	o b
520	by
521	y R
522	Ru
523	uss
524	sel
525	ll
526	l S
527	St
528	til
529	lw
530	wel
531	ll.
532	.A
533	As
534	s w
535	we 
536	 c
537	ch
538	hat 
539	 i
540	in o
541	one
542	e o
543	of 
544	 the 
545	 al
546	lm
547	mo
548	os
549	st-
550	-c
551	com
552	mpl
553	let
554	te
555	e ap
556	par
557	rt
558	tm
559	ment
560	ts,
561	, h
562	he t
563	tel
564	lls
565	s m
566	me 
567	 ab
568	bo
569	out
570	t a
571	a s
572	ser
573	rie
574	es 
575	 of
576	f s
577	str
578	res
579	ss
580	sf
581	fu
582	ul
583	l a
584	and
585	d u
586	up
587	ps
588	set
589	tti
590	ing e
591	ev
592	ve
593	ents
594	s th
595	hat l
596	lef
597	ft
598	t h
599	him
600	m 
601	 d
602	de
603	ep
604	pre
605	ess
606	sed
607	d.
608	.R
609	Rus
610	sse
611	ell
612	l'
613	's b
614	bes
615	st 
616	 fr
617	rien
618	nd d
619	die
620	ed.
621	. 
622	 Th
623	hen 
624	 the c
625	comp
626	pan
627	ny
628	y'
629	's bi
630	ig
631	gg
632	ge
633	est
634	t c
635	cl
636	lie
637	ent 
638	 we
639	ent b
640	bus
641	st,
642	, o
643	ow
644	wi
645	ing m
646	mor
647	re t
648	tha
649	an 
650	 £
651	£1
652	15
653	50
654	0,
655	,0
656	00
657	00.
658	. S
659	Sh
660	ho
661	ort
662	tl
663	ly
664	y a
665	af
666	fte
667	erw
668	war
669	rd
670	ds
671	s, 
672	 Ru
673	usse
674	ell'
675	's f
676	fa
677	ath
678	her
679	r 
680	 pa
681	ass
682	sed 
683	 aw
684	way
685	y.
686	."
687	"G
688	Ge
689	ett
690	ting
691	g u
692	up 
693	 in
694	n t
695	the 
696	 mo
697	orn
698	ni
699	ing w
700	was 
701	 be
702	eco
703	omi
704	ing h
705	har
706	rd,
707	, b
708	bei
709	ing r
710	rea
711	aso
712	ona
713	ab
714	bl
715	le 
716	 wa
717	as 
718	 bec
719	comi
720	ing ha
721	ard,
722	,"
723	" 
724	 he 
725	 s
726	sa
727	ays
728	s.R
729	Russ
730	sell
731	l h
732	hit
733	t r
734	roc
735	ck b
736	bot
737	tto
738	om;
739	; 
740	 the e
741	em
742	mot
743	tion
744	nal
745	l an
746	nd f
747	fin
748	nan
749	nc
750	ci
751	ia
752	al s
753	stre
754	ess 
755	 was
756	s too
757	o m
758	mu
759	uch 
760	 fo
761	or 
762	 him
763	m.
764	."I
765	I 
766	 was 
767	 ca
768	arr
769	ryi
770	ing th
771	he p
772	pe
773	eo
774	op
775	pl
776	le i
777	in m
778	my
779	y b
780	busi
781	ine
782	ess,
783	, c
784	car
785	rry
786	yi
787	ing my
788	y f
789	fam
790	mi
791	ily
792	y an
793	nd I
794	I c
795	cou
796	uld
797	dn
798	n't
799	t co
800	ope
801	e.
802	. I
803	I w
804	was d
805	dr
806	rin
807	nki
808	ing,
809	, I
810	I s
811	sn
812	nap
813	pp
814	ped
815	d a
816	at 
817	 my
818	y fa
819	ami
820	ily,
821	, I 
822	 beca
823	ame
824	e a 
825	 mon
826	ns
827	ste
828	er.
829	..
830	.. 
831	 I
832	I wa
833	as i
834	ill
835	l.
836	."R
837	Russe
838	ell's
839	s f
840	fami
841	ily 
842	 tol
843	ld 
844	 him 
845	 to 
846	 se
847	eek
848	k h
849	hel
850	lp
851	p,
852	, s
853	so
854	o h
855	he w
856	wen
857	nt
858	t t
859	to s
860	see
861	e h
862	his
863	s d
864	doc
