code	string
===============
1	
2	
3	
4	
5	
6	
7	
8	
9		
10	

11	
12	
13	
14	
15	
16	
17	
18	
19	
20	
21	
22	
23	
24	
25	
26	
27	
28	
29	
30	
31	
32	 
33	!
34	"
35	#
36	$
37	%
38	&
39	'
40	(
41	)
42	*
43	+
44	,
45	-
46	.
47	/
48	0
49	1
50	2
51	3
52	4
53	5
54	6
55	7
56	8
57	9
58	:
59	;
60	<
61	=
62	>
63	?
64	@
65	A
66	B
67	C
68	D
69	E
70	F
71	G
72	H
73	I
74	J
75	K
76	L
77	M
78	N
79	O
80	P
81	Q
82	R
83	S
84	T
85	U
86	V
87	W
88	X
89	Y
90	Z
91	[
92	\
93	]
94	^
95	_
96	`
97	a
98	b
99	c
100	d
101	e
102	f
103	g
104	h
105	i
106	j
107	k
108	l
109	m
110	n
111	o
112	p
113	q
114	r
115	s
116	t
117	u
118	v
119	w
120	x
121	y
122	z
123	{
124	|
125	}
126	~
127	
128	
129	
130	
131	
132	
133	
134	
135	
136	
137	
138	
139	
140	
141	
142	
143	
144	
145	
146	
147	
148	
149	
150	
151	
152	
153	
154	
155	
156	
157	
158	
159	
160	 
161	¡
162	¢
163	£
164	¤
165	¥
166	¦
167	§
168	¨
169	©
170	ª
171	«
172	¬
173	­
174	®
175	¯
176	°
177	±
178	²
179	³
180	´
181	µ
182	¶
183	·
184	¸
185	¹
186	º
187	»
188	¼
189	½
190	¾
191	¿
192	À
193	Á
194	Â
195	Ã
196	Ä
197	Å
198	Æ
199	Ç
200	È
201	É
202	Ê
203	Ë
204	Ì
205	Í
206	Î
207	Ï
208	Ð
209	Ñ
210	Ò
211	Ó
212	Ô
213	Õ
214	Ö
215	×
216	Ø
217	Ù
218	Ú
219	Û
220	Ü
221	Ý
222	Þ
223	ß
224	à
225	á
226	â
227	ã
228	ä
229	å
230	æ
231	ç
232	è
233	é
234	ê
235	ë
236	ì
237	í
238	î
239	ï
240	ð
241	ñ
242	ò
243	ó
244	ô
245	õ
246	ö
247	÷
248	ø
249	ù
250	ú
251	û
252	ü
253	ý
254	þ
255	ÿ
256	Ei
257	ig
258	gh
259	ht
260	t 
261	 n
262	ne
263	ew
264	w 
265	 c
266	ce
267	el
268	le
269	eb
270	br
271	ri
272	it
273	ti
274	ie
275	es
276	s 
277	 w
278	wa
279	al
280	lk
281	ke
282	ed
283	d 
284	 (
285	(w
286	wi
287	ith
288	h 
289	 t
290	th
291	he
292	ei
293	ir
294	r 
295	 u
296	um
297	mb
298	bre
299	ell
300	la
301	as
302	s)
303	) 
304	 i
305	in
306	nt
307	to
308	o 
309	 th
310	he 
311	 C
312	Ce
313	ele
314	ebr
315	rit
316	ty
317	y 
318	 B
319	Bi
320	ig 
321	 Br
322	ro
323	ot
324	the
325	er
326	r h
327	ho
328	ou
329	us
330	se
331	e 
332	 o
333	on
334	n 
335	 T
336	Tu
337	ue
338	esd
339	da
340	ay
341	y e
342	ev
343	ve
344	en
345	ni
346	ing
347	g.
348	.T
349	Th
350	hi
351	is
352	s s
353	ser
354	rie
355	es 
356	 is
357	s a
358	a 
359	 l
360	li
361	itt
362	tl
363	le 
364	 d
365	di
366	if
367	ff
368	fe
369	ere
370	ent
371	t t
372	to 
373	 no
374	or
375	rm
376	ma
377	al 
378	 -
379	- 
380	 the
381	e f
382	fi
383	irs
384	st
385	t b
386	ba
387	at
388	tc
389	ch
390	h o
391	of
392	f 
393	 h
394	hou
395	use
396	em
397	mat
398	te
399	es a
400	ar
401	re
402	e a
403	all
404	l 
405	 f
406	fem
407	mal
408	le,
409	, 
410	 a
411	alt
412	tho
413	oug
414	gh 
415	 m
416	male
417	e c
418	co
419	ont
420	tes
421	sta
422	an
423	nts
424	s w
425	wil
426	ll
427	l b
428	be
429	e ad
430	dd
431	de
432	ed 
433	 la
434	ate
435	er 
436	 thi
437	is 
438	 we
439	ee
440	ek
441	k.
442	.C
443	Ch
444	ha
445	ann
446	nel
447	l 5
448	5 
449	 s
450	sa
451	ai
452	id
453	d i
454	it 
455	 wa
456	as 
457	 lau
458	un
459	nc
460	chi
461	ing 
462	 the 
463	 sh
464	how
465	w w
466	wit
467	th 
468	 the f
469	fema
470	ale
471	e-
472	-o
473	onl
474	ly
475	y c
476	ca
477	ast
478	t to
479	o m
480	mar
481	rk
482	k 
483	 the 1
484	10
485	00
486	0t
487	th a
488	anni
489	iv
490	ver
491	rs
492	sar
493	ry
494	y o
495	of 
496	 wo
497	om
498	me
499	en 
500	 ov
501	ver 
502	 3
503	30
504	0 
505	 b
506	bei
507	ing g
508	gi
509	ive
510	en t
511	the 
512	 v
513	vo
514	ote
515	e.
516	.F
517	Fo
518	orm
519	mer
520	r L
521	Li
522	iver
523	rp
524	po
525	oo
526	ol
527	l p
528	pl
529	lay
530	ye
531	er J
532	Jo
533	oh
534	hn
535	n B
536	Ba
537	arn
538	nes
539	s wi
540	il
541	ll 
542	 be
543	e t
544	the f
545	fir
546	rst
547	t m
548	man
549	n t
550	to e
551	ente
552	er t
553	the h
554	hous
555	se 
556	 on
557	n F
558	Fr
559	rid
560	day
561	y.
562	."
563	"P
564	Pu
565	ut
566	tt
567	tin
568	ng
569	g 
570	 the w
571	wo
572	ome
573	en i
574	in 
575	 fi
576	irst
577	t a
578	and
579	d a
580	allo
581	ow
582	win
583	ng 
584	 them
585	m 
586	 to
587	o s
588	set
589	ttl
590	le a
591	and 
592	 ta
593	ak
594	ke 
595	 co
596	ontr
597	rol
598	l o
599	of t
600	the ho
601	ous
602	se b
603	bef
604	fo
605	ore
606	e th
607	he m
608	men
609	n a
610	arr
611	riv
612	ve 
613	 wi
614	ill
615	l c
616	cr
617	rea
618	ate 
619	 an
620	n i
621	int
622	ter
623	res
624	sti
625	ing d
626	dy
627	yn
628	na
629	am
630	mi
631	ic
632	c,
633	,"
634	" 
635	 Ta
636	ams
637	si
638	in D
639	Do
640	od
641	dg
642	gs
643	so
644	on,
645	, C
646	Cel
647	leb
648	bri
649	ity
650	y B
651	Big
652	g B
653	Br
654	rot
655	ther
656	r'
657	's
658	s e
659	ex
660	xe
661	ec
662	cu
663	uti
664	ive 
665	 e
666	edi
667	ito
668	or,
669	, t
670	tol
671	ld
672	d B
673	BB
674	BC
675	C 
676	 N
677	Ne
678	ews
679	s.
680	."H
681	Ho
682	ow 
683	 do
684	o t
685	the d
686	dif
687	ffe
688	eren
689	nt 
690	 g
691	gr
692	rou
693	up
694	ps
695	s c
696	cop
697	pe
698	e w
699	with
700	h p
701	pow
702	we
703	er a
704	and w
705	wh
706	hat
707	t i
708	im
709	mp
710	pa
711	ac
712	ct
713	t d
714	do
715	oe
716	es g
717	ge
718	end
719	der
720	r r
721	real
722	lly
723	y h
724	hav
725	ve?
726	? 
727	 F
728	Fu
729	und
730	dam
731	ment
732	ta
733	ally
734	y t
735	thou
736	ug
737	gh i
738	it w
739	will
740	l be
741	e a 
742	 lo
743	ot 
744	 of
745	f f
746	fu
747	un 
748	 to 
749	 wat
750	tch
751	h.
752	."He
753	ere 
754	 ar
755	re 
756	 this
757	s y
758	yea
759	ar'
760	's 
761	 con
762	nte
763	est
764	tan
765	nts 
766	 (s
767	so 
768	 fa
769	ar)
770	):
771	:J
772	Je
773	ess
774	s i
775	is b
776	bes
777	st 
778	 k
779	kn
780	no
781	own
782	n f
783	for
784	r a
785	ap
786	pp
787	pea
788	ari
789	ing i
790	in M
791	MT
792	TV
793	V 
794	 r
795	reali
796	ity 
797	 sho
798	ow E
799	Ex
800	x 
801	 on 
802	 the B
803	Be
804	ea
805	ach
806	h.S
807	Sh
808	he'
809	's a
810	als
811	so a
812	app
813	pear
814	red
815	d in
816	n 2
817	20
818	01
819	17
820	7'
821	's D
822	Da
823	ang
824	ger
825	rous
826	s G
827	Ga
828	ame
829	e al
830	lo
831	ong
832	gsi
833	ide
834	e C
835	Ca
836	alu
837	um 
838	 Be
839	est 
840	 and
841	d o
842	onc
843	ce 
844	 da
845	ated
846	d C
847	Cha
848	arl
849	lie
850	e S
851	She
852	een
853	n.
854	.A
855	An
856	nn
857	n W
858	Wi
859	idd
860	dec
861	com
862	mbe
863	e s
864	serv
865	ved
866	d as
