code	string
===============
1	
2	
3	
4	
5	
6	
7	
8	
9		
10	

11	
12	
13	
14	
15	
16	
17	
18	
19	
20	
21	
22	
23	
24	
25	
26	
27	
28	
29	
30	
31	
32	 
33	!
34	"
35	#
36	$
37	%
38	&
39	'
40	(
41	)
42	*
43	+
44	,
45	-
46	.
47	/
48	0
49	1
50	2
51	3
52	4
53	5
54	6
55	7
56	8
57	9
58	:
59	;
60	<
61	=
62	>
63	?
64	@
65	A
66	B
67	C
68	D
69	E
70	F
71	G
72	H
73	I
74	J
75	K
76	L
77	M
78	N
79	O
80	P
81	Q
82	R
83	S
84	T
85	U
86	V
87	W
88	X
89	Y
90	Z
91	[
92	\
93	]
94	^
95	_
96	`
97	a
98	b
99	c
100	d
101	e
102	f
103	g
104	h
105	i
106	j
107	k
108	l
109	m
110	n
111	o
112	p
113	q
114	r
115	s
116	t
117	u
118	v
119	w
120	x
121	y
122	z
123	{
124	|
125	}
126	~
127	
128	
129	
130	
131	
132	
133	
134	
135	
136	
137	
138	
139	
140	
141	
142	
143	
144	
145	
146	
147	
148	
149	
150	
151	
152	
153	
154	
155	
156	
157	
158	
159	
160	 
161	¡
162	¢
163	£
164	¤
165	¥
166	¦
167	§
168	¨
169	©
170	ª
171	«
172	¬
173	­
174	®
175	¯
176	°
177	±
178	²
179	³
180	´
181	µ
182	¶
183	·
184	¸
185	¹
186	º
187	»
188	¼
189	½
190	¾
191	¿
192	À
193	Á
194	Â
195	Ã
196	Ä
197	Å
198	Æ
199	Ç
200	È
201	É
202	Ê
203	Ë
204	Ì
205	Í
206	Î
207	Ï
208	Ð
209	Ñ
210	Ò
211	Ó
212	Ô
213	Õ
214	Ö
215	×
216	Ø
217	Ù
218	Ú
219	Û
220	Ü
221	Ý
222	Þ
223	ß
224	à
225	á
226	â
227	ã
228	ä
229	å
230	æ
231	ç
232	è
233	é
234	ê
235	ë
236	ì
237	í
238	î
239	ï
240	ð
241	ñ
242	ò
243	ó
244	ô
245	õ
246	ö
247	÷
248	ø
249	ù
250	ú
251	û
252	ü
253	ý
254	þ
255	ÿ
256	A 
257	 c
258	cl
259	la
260	ai
261	im
262	m 
263	 t
264	th
265	ha
266	at
267	t 
268	 T
269	To
270	on
271	ny
272	y 
273	 B
274	Bl
275	lai
276	ir
277	r 
278	 w
279	wa
280	ar
281	rn
282	ne
283	ed
284	d 
285	 D
286	Do
287	ona
288	al
289	ld
290	d T
291	Tr
292	ru
293	um
294	mp
295	p'
296	's
297	s 
298	 a
299	aid
300	de
301	es
302	s U
303	UK
304	K 
305	 i
306	in
307	nt
308	te
309	el
310	ll
311	li
312	ig
313	ge
314	en
315	nc
316	ce
317	e 
318	 m
319	ma
320	ay
321	y h
322	hav
323	ve
324	e s
325	sp
326	pi
327	ie
328	ed 
329	 o
330	on 
331	 h
332	hi
333	im 
334	 is
335	s "
336	"a
337	a 
338	 co
339	om
340	mpl
341	le
342	et
343	te 
344	 f
345	fa
346	ab
347	br
348	ri
349	ic
350	ca
351	ati
352	io
353	on"
354	",
355	, 
356	 th
357	he
358	e f
359	fo
360	or
361	rm
362	me
363	er
364	r P
365	PM
366	M 
367	 ha
368	as
369	s s
370	sa
371	aid.
372	.A
373	A n
374	new
375	w 
376	 b
377	bo
378	oo
379	ok
380	k 
381	 s
382	say
383	ys
384	s M
385	Mr
386	r B
387	Bla
388	air
389	r h
390	had
391	d s
392	sh
393	har
394	re
395	ed a
396	a "
397	"j
398	ju
399	ui
400	icy
401	y r
402	rum
403	mo
404	ou
405	ur
406	r"
407	" 
408	 wi
409	it
410	th 
411	 the
412	e so
413	on-
414	-i
415	in-
416	-l
417	law
418	w o
419	of
420	f 
421	 the 
422	 U
423	US
424	S 
425	 p
426	pr
427	res
428	si
429	id
430	den
431	nt,
432	, J
433	Ja
434	are
435	ed K
436	Ku
437	us
438	shn
439	ner
440	r,
441	, t
442	tha
443	at 
444	 ca
445	am
446	mpa
447	aig
448	gn
449	n 
450	 st
451	ta
452	af
453	ff
454	f,
455	, "
456	"p
457	po
458	os
459	ss
460	sib
461	bl
462	ly
463	y e
464	ev
465	ven
466	n T
467	Tru
468	ump
469	p 
470	 hi
471	ims
472	se
473	elf
474	f"
475	", 
476	 had
477	d b
478	be
479	ee
480	en 
481	 u
482	un
483	nd
484	der
485	r s
486	su
487	urv
488	vei
489	il
490	lla
491	an
492	nce
493	e.
494	.H
495	He
496	e i
497	is
498	s sa
499	aid 
500	 to
501	o 
502	 hav
503	ve 
504	 be
505	een
506	n "
507	"an
508	ng
509	gl
510	lin
511	ng"
512	" f
513	for
514	r a
515	a p
516	pos
517	st
518	t-
519	-e
520	ele
521	ec
522	ct
523	ti
524	ion
525	n M
526	Mi
527	idd
528	dl
529	le 
530	 E
531	Ea
532	ast
533	t a
534	ad
535	dv
536	vi
537	ise
538	er 
539	 r
540	ro
541	ol
542	le.
543	. 
544	 M
545	Mr 
546	 Bl
547	lair
548	r'
549	's 
550	 of
551	ffi
552	ice
553	e sa
554	aid t
555	the
556	e a
557	all
558	leg
559	ga
560	atio
561	ons
562	s w
563	we
564	ere
565	e "
566	"ab
567	bs
568	sur
569	rd
570	d"
571	" a
572	and
573	d "
574	"s
575	sim
576	mply
577	y u
578	unt
579	tr
580	rue
581	e"
582	".
583	.T
584	Th
585	he 
586	 fo
587	orm
588	mer
589	r U
590	UK 
591	 pr
592	rim
593	me 
594	 mi
595	ini
596	ist
597	ter
598	r t
599	to
600	old
601	d B
602	BB
603	BC
604	C 
605	 R
606	Ra
607	adi
608	io 
609	 4
610	4'
611	's p
612	pro
613	og
614	gr
615	ra
616	amm
617	me:
618	: 
619	 "
620	"I
621	I 
622	 have
623	e n
624	nev
625	ver
626	r ha
627	ad 
628	 su
629	uc
630	ch
631	h 
632	 con
633	nv
634	vers
635	sat
636	tio
637	ons 
638	 in
639	n t
640	the 
641	 W
642	Wh
643	hit
644	te H
645	Ho
646	ous
647	se 
648	 or
649	r o
650	out
651	ts
652	sid
653	de 
654	 of 
655	 the W
656	Whi
657	ite
658	e H
659	Hou
660	use
661	e,
662	, w
663	wi
664	ith
665	h J
666	Jar
667	red
668	d K
669	Kus
670	shne
671	er o
672	or 
673	 wit
674	th a
675	any
676	yb
677	bod
678	dy
679	y el
680	ls
681	se.
682	."
683	"H
684	He 
685	 sa
686	aid h
687	he h
688	had 
689	 me
690	et 
691	 Mr
692	r K
693	Kush
694	hn
695	ner 
696	 an
697	nd 
698	 had 
699	 d
700	di
701	isc
702	cu
703	uss
704	sed
705	d t
706	the M
707	Mid
708	dd
709	dle
710	e E
711	Eas
712	st 
713	 pe
714	ea
715	ac
716	ce 
717	 pro
718	oc
719	ces
720	ss 
721	 with
722	h h
723	him
724	m b
725	bu
726	ut
727	t "
728	"I 
729	 wa
730	asn
731	n'
732	't
733	t an
734	ngl
735	ling
736	g 
737	 for
738	r so
739	ome
740	e j
741	jo
742	ob
743	b"
744	". 
745	 "I
746	I h
747	have
748	e ab
749	bso
750	olu
751	ute
752	ely
753	y n
754	no
755	o d
756	des
757	sir
758	re 
759	 for 
760	 an 
761	 off
762	fi
763	ici
764	ia
765	al 
766	 po
767	osi
768	iti
769	ion 
770	 was
771	s n
772	neve
773	er of
774	ffe
775	ered
776	d o
777	one
778	e, 
779	 do
780	on'
781	't 
782	 wan
783	nt 
784	 on
785	ne,
786	,"
787	" h
788	he a
789	add
790	ded
791	d.
792	.He
793	e sai
794	id 
795	 the c
796	cla
797	aim
798	m w
799	was
800	s "a
801	a r
802	ref
803	fl
804	lec
805	cti
806	ion o
807	of 
808	 the cr
809	raz
810	zy
811	y s
812	sta
813	ate
814	e o
815	of m
816	mod
817	dern
818	n p
819	pol
820	lit
821	tic
822	cs
823	s"
