code	string
===============
1	
2	
3	
4	
5	
6	
7	
8	
9		
10	

11	
12	
13	
14	
15	
16	
17	
18	
19	
20	
21	
22	
23	
24	
25	
26	
27	
28	
29	
30	
31	
32	 
33	!
34	"
35	#
36	$
37	%
38	&
39	'
40	(
41	)
42	*
43	+
44	,
45	-
46	.
47	/
48	0
49	1
50	2
51	3
52	4
53	5
54	6
55	7
56	8
57	9
58	:
59	;
60	<
61	=
62	>
63	?
64	@
65	A
66	B
67	C
68	D
69	E
70	F
71	G
72	H
73	I
74	J
75	K
76	L
77	M
78	N
79	O
80	P
81	Q
82	R
83	S
84	T
85	U
86	V
87	W
88	X
89	Y
90	Z
91	[
92	\
93	]
94	^
95	_
96	`
97	a
98	b
99	c
100	d
101	e
102	f
103	g
104	h
105	i
106	j
107	k
108	l
109	m
110	n
111	o
112	p
113	q
114	r
115	s
116	t
117	u
118	v
119	w
120	x
121	y
122	z
123	{
124	|
125	}
126	~
127	
128	
129	
130	
131	
132	
133	
134	
135	
136	
137	
138	
139	
140	
141	
142	
143	
144	
145	
146	
147	
148	
149	
150	
151	
152	
153	
154	
155	
156	
157	
158	
159	
160	 
161	¡
162	¢
163	£
164	¤
165	¥
166	¦
167	§
168	¨
169	©
170	ª
171	«
172	¬
173	­
174	®
175	¯
176	°
177	±
178	²
179	³
180	´
181	µ
182	¶
183	·
184	¸
185	¹
186	º
187	»
188	¼
189	½
190	¾
191	¿
192	À
193	Á
194	Â
195	Ã
196	Ä
197	Å
198	Æ
199	Ç
200	È
201	É
202	Ê
203	Ë
204	Ì
205	Í
206	Î
207	Ï
208	Ð
209	Ñ
210	Ò
211	Ó
212	Ô
213	Õ
214	Ö
215	×
216	Ø
217	Ù
218	Ú
219	Û
220	Ü
221	Ý
222	Þ
223	ß
224	à
225	á
226	â
227	ã
228	ä
229	å
230	æ
231	ç
232	è
233	é
234	ê
235	ë
236	ì
237	í
238	î
239	ï
240	ð
241	ñ
242	ò
243	ó
244	ô
245	õ
246	ö
247	÷
248	ø
249	ù
250	ú
251	û
252	ü
253	ý
254	þ
255	ÿ
256	Mo
257	or
258	re
259	e 
260	 t
261	th
262	ha
263	an
264	n 
265	 1
266	10
267	0,
268	,0
269	00
270	00 
271	 a
272	am
273	mb
274	bu
275	ul
276	la
277	anc
278	ce
279	es
280	s 
281	 h
282	hav
283	ve
284	e b
285	be
286	ee
287	en
288	n d
289	di
290	is
291	sp
292	pa
293	at
294	tc
295	ch
296	he
297	ed
298	d 
299	 w
300	wi
301	it
302	th 
303	 o
304	on
305	ne
306	e c
307	cr
308	rew
309	w 
310	 m
311	me
312	em
313	mbe
314	er
315	r 
316	 on
317	n b
318	bo
319	oa
320	ar
321	rd
322	d i
323	in
324	n t
325	the
326	e p
327	pas
328	st
329	t 
330	 f
331	fo
332	ou
333	ur
334	r y
335	ye
336	ea
337	ars
338	s.
339	.T
340	Th
341	he 
342	 S
343	Sc
344	co
345	ot
346	tt
347	ti
348	ish
349	h 
350	 g
351	go
352	ov
353	ver
354	rn
355	nm
356	men
357	nt
358	t h
359	has
360	s p
361	pr
362	rev
363	vi
364	io
365	ous
366	sl
367	ly
368	y 
369	 s
370	sa
371	ai
372	id
373	d s
374	si
375	ing
376	gl
377	le
378	e cr
379	rewi
380	ing 
381	 sh
382	ho
383	oul
384	ld
385	d o
386	onl
387	ly 
388	 oc
389	cc
390	cu
391	ur 
392	 i
393	in 
394	 "
395	"e
396	ex
397	xc
398	cep
399	pt
400	tio
401	ona
402	al
403	l 
404	 c
405	ci
406	ir
407	rc
408	cum
409	ms
410	sta
411	ance
412	es"
413	".
414	.P
415	Pa
416	ara
417	ame
418	edi
419	ic
420	cs
421	s w
422	we
423	ere
424	e s
425	se
426	ent
427	t o
428	on 
429	 th
430	hei
431	ir 
432	 ow
433	wn
434	n to
435	o 
436	 2
437	2,
438	,2
439	20
440	04
441	4 
442	 e
443	eme
444	erg
445	ge
446	enc
447	cy
448	y c
449	ca
450	all
451	l-
452	-o
453	out
454	ts
455	s i
456	in 2
457	201
458	16
459	6/
460	/1
461	17
462	7,
463	, 
464	 ac
465	cco
466	ord
467	din
468	ng
469	g 
470	 to
471	o f
472	fi
473	ig
474	gu
475	ure
476	es 
477	 ob
478	bt
479	ta
480	ain
481	ned
482	d b
483	by
484	y t
485	the 
486	 Sc
487	cot
488	tti
489	ish 
490	 C
491	Co
492	ons
493	ser
494	rv
495	va
496	ati
497	iv
498	ves
499	s.T
500	The
501	e S
502	Sco
503	ott
504	tis
505	sh
506	h A
507	Am
508	mbu
509	ula
510	ance 
511	 Se
512	erv
513	vic
514	ce 
515	 b
516	bl
517	lam
518	med
519	d st
520	taf
521	ff
522	f 
523	 ab
524	bs
525	sen
526	nc
527	ces
528	s a
529	and
530	d sa
531	aid
532	d t
533	the f
534	fig
535	gur
536	re 
537	 r
538	rep
539	pre
540	ese
541	ente
542	ed 
543	 j
544	ju
545	us
546	st 
547	 1.
548	.5
549	5%
550	% 
551	 of
552	f s
553	shi
554	if
555	ft
556	ts.
557	.S
558	Si
559	inc
560	ce 2
561	2013
562	3/
563	/14
564	4,
565	, a
566	a 
567	 tot
568	tal
569	l o
570	of
571	f 1
572	10,
573	,02
574	29
575	9 
576	 si
577	ingl
578	le-
579	-c
580	cre
581	ew
582	wed
583	d a
584	amb
585	bul
586	lan
587	nce
588	es h
589	have
590	e be
591	een
592	n di
593	isp
594	pat
595	tch
596	hed
597	d T
598	The 
599	 ra
600	ate
601	e h
602	has 
603	 fa
604	alle
605	en 
606	 fr
607	ro
608	om
609	m 
610	 a 
611	 hi
612	igh
613	h o
614	of 
615	 3
616	3,
617	,5
618	51
619	14
620	4 i
621	in 20
622	01
623	15
624	5/
625	/16
626	6 
627	 bu
628	ut
629	t r
630	rem
631	ma
632	ains
633	s ab
634	bov
635	ve 
636	 the
637	e 2
638	2013/
639	/14 
640	 l
641	lo
642	ow
643	w o
644	of 1
645	1,
646	,6
647	64
648	44
649	4.
650	.F
651	Fi
652	irs
653	st M
654	Mi
655	ini
656	ist
657	te
658	er 
659	 N
660	Ni
661	ico
662	ol
663	la 
664	 St
665	tu
666	urg
667	geo
668	on w
669	wa
670	arn
671	ned 
672	 ag
673	ga
674	ainst
675	t s
676	sin
677	ngl
678	le-c
679	crew
680	w c
681	cal
682	ll
683	l-o
684	outs
685	s wh
686	hi
687	il
688	le 
689	 she
690	e w
691	was
692	s h
693	hea
694	alt
695	th s
696	sec
697	cret
698	tar
699	ry
700	y a
701	a d
702	de
703	ec
704	cad
705	de 
706	 ago
707	o.
708	.Sh
709	he s
710	sai
711	id 
712	 at
713	t t
714	the t
715	tim
716	me:
717	: 
718	 "I
719	I 
720	 ha
721	av
722	ve m
723	mad
724	de i
725	it 
726	 cl
727	lea
728	ar 
729	 to 
730	 the 
731	 Sco
732	otti
733	ish A
734	Amb
735	bula
736	ance S
737	Se
738	ervi
739	ice
740	e t
741	tha
742	at 
743	 it
744	t m
745	mu
746	ust
747	t ta
748	ak
749	ke
750	e a
751	ac
752	ct
753	tion
754	n to 
755	 el
756	li
757	im
758	mi
759	ina
760	ate 
761	 ro
762	os
763	ste
764	ered
765	d si
766	ingle
767	e-
768	-m
769	man
770	nn
771	ni
772	ing.
773	."
774	"T
775	The p
776	po
777	oli
778	icy
779	y o
780	of t
781	the S
782	Scot
783	ttis
784	sh 
785	 go
786	ove
787	ern
788	nme
789	ent 
790	 is
791	s c
792	cl
793	lear
794	r -
795	- 
796	 tr
797	ra
798	ad
799	dit
800	tiona
801	al 
802	 acc
803	cid
804	den
805	nt 
806	 an
807	nd
808	d e
809	emer
810	rg
811	gen
812	ncy
813	y am
814	mbul
815	lanc
816	ces 
817	 sho
818	ould
819	d be
820	e d
821	do
822	oub
823	ble
824	e-c
825	crewe
826	ed,
827	, w
828	wit
829	th a
830	at l
831	leas
832	st o
833	one
834	e m
835	mem
836	mber
837	r b
838	bei
839	ing a
840	a p
841	par
842	ram
843	medi
844	ic,
845	, u
846	un
847	nl
848	les
849	ss
850	s in
851	n e
852	exc
853	cept
854	tional
855	l c
856	cir
857	rcu
858	um
859	mst
860	tan
861	nces
862	s."
