code	string
===============
1	
2	
3	
4	
5	
6	
7	
8	
9		
10	

11	
12	
13	
14	
15	
16	
17	
18	
19	
20	
21	
22	
23	
24	
25	
26	
27	
28	
29	
30	
31	
32	 
33	!
34	"
35	#
36	$
37	%
38	&
39	'
40	(
41	)
42	*
43	+
44	,
45	-
46	.
47	/
48	0
49	1
50	2
51	3
52	4
53	5
54	6
55	7
56	8
57	9
58	:
59	;
60	<
61	=
62	>
63	?
64	@
65	A
66	B
67	C
68	D
69	E
70	F
71	G
72	H
73	I
74	J
75	K
76	L
77	M
78	N
79	O
80	P
81	Q
82	R
83	S
84	T
85	U
86	V
87	W
88	X
89	Y
90	Z
91	[
92	\
93	]
94	^
95	_
96	`
97	a
98	b
99	c
100	d
101	e
102	f
103	g
104	h
105	i
106	j
107	k
108	l
109	m
110	n
111	o
112	p
113	q
114	r
115	s
116	t
117	u
118	v
119	w
120	x
121	y
122	z
123	{
124	|
125	}
126	~
127	
128	
129	
130	
131	
132	
133	
134	
135	
136	
137	
138	
139	
140	
141	
142	
143	
144	
145	
146	
147	
148	
149	
150	
151	
152	
153	
154	
155	
156	
157	
158	
159	
160	 
161	¡
162	¢
163	£
164	¤
165	¥
166	¦
167	§
168	¨
169	©
170	ª
171	«
172	¬
173	­
174	®
175	¯
176	°
177	±
178	²
179	³
180	´
181	µ
182	¶
183	·
184	¸
185	¹
186	º
187	»
188	¼
189	½
190	¾
191	¿
192	À
193	Á
194	Â
195	Ã
196	Ä
197	Å
198	Æ
199	Ç
200	È
201	É
202	Ê
203	Ë
204	Ì
205	Í
206	Î
207	Ï
208	Ð
209	Ñ
210	Ò
211	Ó
212	Ô
213	Õ
214	Ö
215	×
216	Ø
217	Ù
218	Ú
219	Û
220	Ü
221	Ý
222	Þ
223	ß
224	à
225	á
226	â
227	ã
228	ä
229	å
230	æ
231	ç
232	è
233	é
234	ê
235	ë
236	ì
237	í
238	î
239	ï
240	ð
241	ñ
242	ò
243	ó
244	ô
245	õ
246	ö
247	÷
248	ø
249	ù
250	ú
251	û
252	ü
253	ý
254	þ
255	ÿ
256	Wh
257	he
258	en
259	n 
260	 h
261	her
262	rp
263	pe
264	et
265	to
266	ol
267	lo
268	og
269	gi
270	is
271	st
272	t 
273	 A
274	An
275	nd
276	dr
277	re
278	ew
279	w 
280	 S
281	Sn
282	ny
283	yd
284	de
285	er
286	r'
287	's
288	s 
289	 f
290	fl
291	la
292	as
293	sh
294	hl
295	li
296	ig
297	gh
298	ht
299	t l
300	lan
301	nde
302	ed
303	d 
304	 o
305	on
306	n s
307	so
308	om
309	me
310	eth
311	hi
312	in
313	ng
314	g 
315	 b
316	br
317	ri
318	igh
319	ht 
320	 bl
321	lu
322	ue
323	e 
324	 i
325	in 
326	 t
327	th
328	he 
329	 r
330	ra
331	ai
332	inf
333	fo
334	or
335	res
336	sts
337	s o
338	of
339	f 
340	 G
341	Gu
342	uy
343	ya
344	an
345	na
346	a,
347	, 
348	 So
349	ou
350	ut
351	th 
352	 Am
353	mer
354	ric
355	ca
356	a, 
357	 he
358	e s
359	sto
360	op
361	pp
362	ped
363	d a
364	and
365	d t
366	too
367	ok
368	k 
369	 a
370	a 
371	 c
372	cl
373	los
374	se
375	er 
376	 l
377	loo
378	ok.
379	.I
380	It
381	t t
382	tu
383	ur
384	rn
385	ne
386	ed 
387	 ou
388	ut 
389	 to
390	o 
391	 be
392	e a
393	a b
394	bl
395	lue
396	e t
397	ta
398	ar
399	ran
400	nt
401	tul
402	la 
403	 of
404	f t
405	the
406	e I
407	Is
408	sc
409	ch
410	hn
411	no
412	oc
413	co
414	oli
415	ina
416	ae
417	e su
418	ub
419	bf
420	fa
421	am
422	mi
423	il
424	ly
425	y,
426	, a
427	a s
428	sp
429	pec
430	ci
431	ie
432	es
433	s m
434	mo
435	os
436	st 
437	 li
438	ik
439	ke
440	el
441	ly 
442	 u
443	un
444	nk
445	kn
446	now
447	wn
448	n t
449	to 
450	 s
451	sci
452	ien
453	nc
454	ce
455	e.
456	."
457	"I
458	It 
459	 w
460	wa
461	as 
462	 v
463	ve
464	ery
465	y 
466	 e
467	ex
468	xc
469	cit
470	ti
471	ing
472	g t
473	to s
474	sa
475	ay
476	y t
477	the 
478	 le
479	ea
480	ast
481	t,
482	,"
483	" 
484	 sa
485	ays
486	s t
487	the P
488	Ph
489	hD
490	D 
491	 ca
492	andi
493	id
494	da
495	at
496	te
497	e f
498	fr
499	ro
500	om 
501	 th
502	he U
503	Un
504	ni
505	iv
506	ver
507	rs
508	si
509	it
510	ty
511	y o
512	of 
513	 M
514	Mi
515	iss
516	sis
517	ss
518	sip
519	ppi
520	i.
521	. 
522	 "
523	"I 
524	 ha
525	ad
526	d n
527	no 
528	 id
529	dea
530	a t
531	tha
532	at 
533	 it
534	t w
535	wo
536	oul
537	ld
538	d tu
539	urn
540	n o
541	out
542	t to
543	o b
544	be
545	e suc
546	ch 
547	 a 
548	 st
549	tun
550	nn
551	nin
552	ng 
553	 ta
554	ara
555	ant
556	tula
557	a bu
558	ut I
559	I'
560	'm
561	m 
562	 g
563	gl
564	lad
565	d th
566	ha
567	at I
568	I 
569	 we
570	ent
571	t wi
572	ith
573	h 
574	 m
575	my
576	y i
577	ins
578	sti
579	inc
580	ct
581	ts
582	s to
583	o d
584	do
585	oub
586	ble
587	e c
588	che
589	ec
590	ck
591	k.
592	."M
593	Mr
594	r 
595	 Sn
596	nyd
597	der
598	r m
599	ma
600	ade
601	e th
602	he d
603	di
604	isc
605	cov
606	very
607	y d
608	du
609	uri
610	ing 
611	 a b
612	bi
613	io
614	od
615	div
616	vers
617	sit
618	ty 
619	 as
620	sse
621	ess
622	sm
623	men
624	nt 
625	 te
626	eam
627	m s
628	su
629	urv
630	vey
631	y l
632	le
633	ed b
634	by
635	y W
636	Wo
637	orl
638	ld 
639	 W
640	Wi
641	ild
642	dl
643	lif
644	fe
645	e F
646	Fu
647	und
648	d (
649	(W
650	WW
651	WF
652	F)
653	) 
654	 Gu
655	ui
656	ia
657	ana
658	as a
659	and 
660	 Gl
661	lob
662	ba
663	al
664	l 
665	 Wi
666	ildl
667	life
668	e C
669	Co
670	ons
671	ser
672	rv
673	va
674	ati
675	ion
676	n.
677	. I
678	In
679	n to
680	ot
681	tal
682	l,
683	, t
684	the r
685	rese
686	ear
687	rc
688	cher
689	rs 
690	 fo
691	oun
692	nd 
693	 mo
694	ore
695	e tha
696	an 
697	 3
698	30
699	0 
700	 sp
701	peci
702	ies
703	s th
704	hat
705	t a
706	are
707	e l
708	lik
709	kel
710	ly t
711	to b
712	be 
713	 n
714	new
715	w t
716	to sc
717	cie
718	enc
719	ce.
720	. T
721	Th
722	hes
723	se 
724	 in
725	ncl
726	lud
727	de 
728	 si
729	ix
730	x 
731	 spe
732	eci
733	ies 
734	 of 
735	 fi
736	ish
737	h,
738	, th
739	hr
740	ree
741	e p
742	pl
743	lant
744	ts,
745	, 1
746	15
747	5 
748	 aq
749	qu
750	ua
751	atic
752	c 
753	 bee
754	etl
755	les
756	s a
757	and f
758	fi
759	ive
760	e o
761	odo
762	ona
763	ate
764	es,
765	, b
766	bet
767	tt
768	ter
769	r k
770	kno
771	ow
772	wn 
773	 as 
774	 d
775	dra
776	ag
777	go
778	onf
779	fli
780	ies a
781	and d
782	dam
783	ms
784	sel
785	lf
786	flie
787	es.
788	.T
789	The
790	e K
791	Ka
792	aie
793	ete
794	eu
795	ur 
796	 P
797	Pl
798	lat
799	tea
800	au
801	u-
802	-U
803	Up
804	ppe
805	er P
806	Po
807	ota
808	aro
809	o r
810	reg
811	gio
812	on,
813	, w
814	wh
815	here
816	e the
817	e sur
818	rve
819	ey
820	y to
821	oo
822	ok 
823	 p
824	pla
825	ac
826	ce 
827	 in 
828	 2
829	20
830	01
831	14
832	4,
833	, i
834	is 
835	 a r
836	rich
837	h h
838	hab
839	bit
840	tat
841	t f
842	for
843	r s
844	spe
845	ect
846	tac
847	cu
848	ul
849	lar
850	r a
851	and e
852	end
853	dan
854	nge
855	ere
856	ed s
857	spec
858	cies
859	s s
860	suc
861	ch a
862	as t
863	the T
864	Te
865	ep
866	pu
867	ui 
