code	string
===============
1	
2	
3	
4	
5	
6	
7	
8	
9		
10	

11	
12	
13	
14	
15	
16	
17	
18	
19	
20	
21	
22	
23	
24	
25	
26	
27	
28	
29	
30	
31	
32	 
33	!
34	"
35	#
36	$
37	%
38	&
39	'
40	(
41	)
42	*
43	+
44	,
45	-
46	.
47	/
48	0
49	1
50	2
51	3
52	4
53	5
54	6
55	7
56	8
57	9
58	:
59	;
60	<
61	=
62	>
63	?
64	@
65	A
66	B
67	C
68	D
69	E
70	F
71	G
72	H
73	I
74	J
75	K
76	L
77	M
78	N
79	O
80	P
81	Q
82	R
83	S
84	T
85	U
86	V
87	W
88	X
89	Y
90	Z
91	[
92	\
93	]
94	^
95	_
96	`
97	a
98	b
99	c
100	d
101	e
102	f
103	g
104	h
105	i
106	j
107	k
108	l
109	m
110	n
111	o
112	p
113	q
114	r
115	s
116	t
117	u
118	v
119	w
120	x
121	y
122	z
123	{
124	|
125	}
126	~
127	
128	
129	
130	
131	
132	
133	
134	
135	
136	
137	
138	
139	
140	
141	
142	
143	
144	
145	
146	
147	
148	
149	
150	
151	
152	
153	
154	
155	
156	
157	
158	
159	
160	 
161	¡
162	¢
163	£
164	¤
165	¥
166	¦
167	§
168	¨
169	©
170	ª
171	«
172	¬
173	­
174	®
175	¯
176	°
177	±
178	²
179	³
180	´
181	µ
182	¶
183	·
184	¸
185	¹
186	º
187	»
188	¼
189	½
190	¾
191	¿
192	À
193	Á
194	Â
195	Ã
196	Ä
197	Å
198	Æ
199	Ç
200	È
201	É
202	Ê
203	Ë
204	Ì
205	Í
206	Î
207	Ï
208	Ð
209	Ñ
210	Ò
211	Ó
212	Ô
213	Õ
214	Ö
215	×
216	Ø
217	Ù
218	Ú
219	Û
220	Ü
221	Ý
222	Þ
223	ß
224	à
225	á
226	â
227	ã
228	ä
229	å
230	æ
231	ç
232	è
233	é
234	ê
235	ë
236	ì
237	í
238	î
239	ï
240	ð
241	ñ
242	ò
243	ó
244	ô
245	õ
246	ö
247	÷
248	ø
249	ù
250	ú
251	û
252	ü
253	ý
254	þ
255	ÿ
256	Do
257	on
258	na
259	al
260	ld
261	d 
262	 T
263	Tr
264	ru
265	um
266	mp
267	p 
268	 w
269	wa
270	as
271	s 
272	 "
273	"b
274	be
275	ef
276	fu
277	ud
278	dd
279	dl
280	le
281	ed
282	d"
283	" 
284	 b
285	by
286	y 
287	 h
288	hi
289	is
290	s e
291	el
292	lec
293	ct
294	ti
295	io
296	on 
297	 wi
298	in
299	n,
300	, 
301	 d
302	di
303	id
304	d n
305	no
306	ot
307	t 
308	 e
309	en
310	nj
311	jo
312	oy
313	y h
314	his
315	s i
316	ina
317	au
318	ug
319	gu
320	ur
321	ra
322	at
323	tio
324	on a
325	an
326	nd
327	d w
328	was
329	s s
330	sc
331	ca
332	ar
333	re
334	ed 
335	 o
336	of
337	f 
338	 t
339	th
340	he
341	e 
342	 W
343	Wh
344	hit
345	te
346	e H
347	Ho
348	ou
349	us
350	se
351	e,
352	, a
353	ac
354	cc
355	co
356	or
357	rd
358	din
359	ng
360	g 
361	 to
362	o 
363	 a
364	a 
365	 n
366	ne
367	ew
368	w 
369	 bo
370	oo
371	ok
372	k.
373	.J
374	Jo
375	our
376	rn
377	nal
378	li
379	ist
380	t M
381	Mi
382	ic
383	ch
384	ha
385	ae
386	el 
387	 Wo
388	ol
389	lf
390	ff
391	f'
392	's
393	s F
394	Fi
395	ir
396	re 
397	 an
398	nd 
399	 F
400	Fu
401	ury
402	y:
403	: 
404	 I
405	In
406	ns
407	si
408	ide
409	e t
410	the
411	e T
412	Tru
413	ump
414	p W
415	Whi
416	it
417	te 
418	 H
419	Hou
420	use
421	e a
422	als
423	so
424	o p
425	pu
426	urp
427	po
428	ort
429	ts
430	s t
431	to
432	o l
433	lif
434	ft
435	t t
436	the 
437	 l
438	lid
439	d o
440	on I
441	Iv
442	va
443	ank
444	ka
445	a T
446	Trum
447	mp'
448	's 
449	 s
450	sec
451	cr
452	ret
453	t p
454	pr
455	res
456	sid
457	de
458	ent
459	tia
460	al 
461	 am
462	mb
463	bi
464	iti
465	ion
466	ns.
467	.T
468	Th
469	he 
470	 boo
471	ok 
472	 de
473	et
474	ta
475	ai
476	il
477	ls
478	s M
479	Mr
480	r 
481	 Tr
482	rum
483	mp's
484	s r
485	reg
486	ga
487	ard
488	d f
489	fo
490	or 
491	 m
492	me
493	edi
494	ia
495	a t
496	tit
497	tan
498	n 
499	 R
500	Ru
501	up
502	pe
503	er
504	rt
505	t Mu
506	urd
507	do
508	oc
509	ch,
510	, t
511	tho
512	oug
513	gh
514	h 
515	 th
516	he a
517	ad
518	dm
519	mi
520	ira
521	ati
522	ion 
523	 wa
524	as 
525	 ap
526	pp
527	pa
528	are
529	entl
530	ly
531	y n
532	not
533	t m
534	mu
535	ut
536	tu
537	ua
538	al.
539	.M
540	Mic
541	cha
542	ael
543	l 
544	 Wol
545	lff
546	f's
547	s b
548	bo
549	ook
550	k 
551	 was
552	s re
553	ep
554	por
555	rte
556	edl
557	ly 
558	 ba
559	ase
560	ed o
561	on m
562	mo
563	ore
564	e th
565	han
566	n 2
567	20
568	00
569	0 
570	 i
571	int
572	ter
573	rv
574	vi
575	ie
576	ews
577	s.
578	. 
579	 B
580	Bu
581	ut 
582	 Wh
583	hite
584	e Ho
585	ous
586	se 
587	 p
588	pre
589	es
590	ss
591	s se
592	ec
593	cre
594	eta
595	ary
596	y S
597	Sa
598	ara
599	ah
600	h S
601	San
602	nde
603	ers
604	s sa
605	aid
606	d t
607	the b
608	boo
609	ok w
610	was 
611	 f
612	fi
613	ill
614	led
615	d wi
616	ith
617	h "
618	"f
619	fa
620	alse
621	e an
622	nd m
623	mis
624	sl
625	lea
626	adi
627	ing
628	g a
629	acc
630	cou
631	un
632	nt
633	ts"
634	".
635	.Th
636	he au
637	uth
638	ho
639	or s
640	sa
641	ay
642	ys
643	s h
644	he w
645	was a
646	ab
647	bl
648	le 
649	 to 
650	 ta
651	ak
652	ke
653	e u
654	up 
655	 "s
656	som
657	met
658	thi
659	ing 
660	 li
661	ik
662	ke 
663	 a 
664	 se
665	em
666	mi-
667	-p
668	per
669	rm
670	ma
671	ane
672	ent 
673	 sea
674	at 
675	 on
676	n a
677	a c
678	couc
679	ch 
680	 in
681	n t
682	the W
683	We
684	est
685	t W
686	Wi
687	ing"
688	" f
689	fol
690	ll
691	lo
692	ow
693	wi
694	ing t
695	the p
696	pres
697	side
698	ent'
699	's i
700	inau
701	ugu
702	ura
703	atio
704	on f
705	for
706	r a
707	a cl
708	los
709	se-
710	-u
711	up i
712	ins
713	sig
714	ght
715	t i
716	into
717	o t
718	the a
719	adm
720	min
721	ni
722	istr
723	rat
724	tion
725	n.
726	.H
727	He
728	ere
729	e ar
730	re 1
731	10
732	0 o
733	of 
734	 the
735	e b
736	book
737	k'
738	's r
739	rev
740	ve
741	ela
742	ation
743	ns,
744	, w
745	wit
746	th 
747	 c
748	com
749	mm
750	men
751	nta
752	ary 
753	 fr
754	ro
755	om
756	m 
757	 the 
758	 BB
759	BC
760	C'
761	's A
762	An
763	nth
764	hon
765	ny
766	y Z
767	Zu
768	urc
769	che
770	er.
771	.A
772	Ac
773	cco
774	ord
775	ding
776	g t
777	to 
778	 the b
779	book,
780	, f
781	form
782	mer
783	r W
784	Whit
785	te H
786	Hous
787	se c
788	chi
789	ief
790	f s
791	st
792	tr
793	rate
794	eg
795	gi
796	ist 
797	 S
798	St
799	tev
800	ve 
801	 Ba
802	ann
803	non
804	n th
805	hou
806	ugh
807	ht
808	t a
809	a m
810	mee
811	eti
812	ing b
813	bet
814	tw
815	we
816	ee
817	en 
818	 D
819	Don
820	nald
821	d T
822	Trump
823	p J
824	Jr
825	r an
826	nd a
827	a g
828	gr
829	rou
830	up o
831	of R
832	Rus
833	ssi
834	ian
835	ns 
836	 was 
837	 "t
838	tre
839	ea
840	aso
841	ono
842	ous"
